,0,1,2,3
0,24.0,17.0,23.0,19.0
1,6.0,11.0,17.0,11.0
2,6.0,27.0,17.0,21.0
3,8.0,29.0,13.0,11.0
4,6.0,39.0,55.0,24.0
5,6.0,32.0,19.0,17.0
6,19.0,7.0,16.0,16.0
