,0,1,2,3
0,6.0,20.0,17.0,20.0
1,6.0,51.0,13.0,69.0
2,6.0,19.0,23.0,14.0
3,6.0,52.0,16.0,12.0
4,13.0,14.0,16.0,17.0
5,6.0,23.0,25.0,16.0
6,10.0,29.0,13.0,23.0
