,0,1,2,3
0,8.0,17.0,15.0,19.0
1,14.0,68.0,10.0,38.0
2,6.0,13.0,28.0,13.0
3,22.0,25.0,22.0,37.0
4,6.0,22.0,22.0,19.0
5,6.0,17.0,27.0,13.0
6,6.0,28.0,12.0,13.0
