,0,1,2,3
0,12.0,39.0,16.0,3.0
1,8.0,30.0,19.0,28.0
2,9.0,44.0,20.0,16.0
3,39.0,27.0,26.0,17.0
4,11.0,20.0,14.0,43.0
5,5.0,18.0,32.0,25.0
6,7.0,27.0,22.0,15.0
