,0,1,2,3
0,13.0,17.0,10.0,20.0
1,9.0,20.0,44.0,11.0
2,13.0,24.0,25.0,24.0
3,8.0,10.0,24.0,10.0
4,19.0,19.0,15.0,19.0
5,13.0,12.0,20.0,12.0
6,52.0,20.0,61.0,20.0
