,0,1,2,3
0,10.0,22.0,18.0,15.0
1,12.0,30.0,11.0,11.0
2,7.0,18.0,15.0,17.0
3,30.0,16.0,57.0,10.0
4,13.0,13.0,30.0,19.0
5,30.0,24.0,15.0,21.0
6,15.0,36.0,31.0,32.0
