,0,1,2,3
0,8.0,28.0,20.0,20.0
1,33.0,12.0,27.0,12.0
2,18.0,19.0,25.0,23.0
3,10.0,17.0,17.0,19.0
4,6.0,29.0,18.0,23.0
5,62.0,27.0,34.0,13.0
6,12.0,7.0,22.0,11.0
